X,Y,id
-2103084.683326913043857,839801.380823834682815,28
-2092870.339495290070772,833625.265948899788782,27
-2084081.252942497842014,842889.438261302188039,26
-2080518.109745420049876,854291.496491951285861,25
-2061277.136481199646369,854529.039371756487526,24
-2036572.676981459837407,886122.242385846795514,23
-2048212.278091914253309,899187.100775132304989,22
-2030634.104986330028623,912489.502044223016128,21
-2035860.048342044232413,921516.13147682021372,20
-2048212.278091914253309,915815.102361495606601,19
-2029208.847707498818636,935768.704265131615102,18
-2034434.791063213022426,942182.362019871827215,17
-2042748.791856394847855,936956.418664157623425,16
-2050587.706889966037124,942182.362019871827215,15
-2054625.935846654232591,931017.846669027814642,14
-2063890.108159056631848,931017.846669027814642,13
-2076717.423668537056074,921278.588597015012056,12
-2075767.252149316249415,932443.103947858908214,11
-2085744.053101134253666,940519.561861235415563,10
-2096908.568451978266239,921991.217236430617049,9
-2099046.45437022484839,908926.358847145107575,8
-2104034.854846133850515,899424.643654937506653,7
-2106885.36940379627049,885884.69950604159385,6
-2099046.45437022484839,883746.813587794895284,5
-2099283.997250030282885,857617.09680922399275,4
-2106647.826523990835994,855954.296650587581098,3
-2107360.455163406673819,848115.381617016391829,2
-2112586.398519120644778,843364.524020912591368,1
